epoch,step,test_step_acc,test_step_loss,train_step_acc,train_step_loss,val_step_acc,val_step_loss
0,3,,,0.5,4.291297435760498,,
0,7,,,0.4375,3.4198498725891113,,
0,8,,,,,0.47727271914482117,1.5254310369491577
1,11,,,0.625,1.6205846071243286,,
1,15,,,0.625,2.509026050567627,,
1,17,,,,,0.6051136255264282,0.7546302080154419
2,19,,,0.6875,1.2737135887145996,,
2,23,,,0.6875,0.8297972083091736,,
2,26,,,,,0.6534090638160706,0.7303743362426758
3,27,,,0.59375,0.87186199426651,,
3,31,,,0.625,0.7842225432395935,,
3,35,,,0.75,0.513702392578125,,
3,35,,,,,0.7159090638160706,0.5427840948104858
4,39,,,0.84375,0.3772149682044983,,
4,43,,,0.78125,0.47189417481422424,,
4,44,,,,,0.7727272510528564,0.4496518671512604
5,47,,,0.8125,0.45369452238082886,,
5,51,,,0.75,0.3764951229095459,,
5,53,,,,,0.8039772510528564,0.4112299382686615
6,55,,,0.78125,0.4203580617904663,,
6,59,,,0.71875,0.4729517102241516,,
6,62,,,,,0.8153409361839294,0.3831619322299957
7,63,,,0.84375,0.25436675548553467,,
7,67,,,0.84375,0.37678205966949463,,
7,71,,,0.75,0.46916961669921875,,
7,71,,,,,0.8323863744735718,0.4090808033943176
8,75,,,0.875,0.25319555401802063,,
8,79,,,0.8125,0.36145439743995667,,
8,80,,,,,0.8636363744735718,0.361842542886734
9,83,,,0.875,0.28313153982162476,,
9,87,,,0.8125,0.33579787611961365,,
9,89,,,,,0.8721590638160706,0.3546777665615082
10,91,,,0.78125,0.35467785596847534,,
10,95,,,0.875,0.3592630624771118,,
10,98,,,,,0.875,0.3687909245491028
11,99,,,0.875,0.27070164680480957,,
11,103,,,0.71875,0.4301338195800781,,
11,107,,,0.9375,0.16544190049171448,,
11,107,,,,,0.8721590638160706,0.4118533134460449
12,111,,,0.96875,0.14746911823749542,,
12,115,,,0.90625,0.22755660116672516,,
12,116,,,,,0.9090909361839294,0.3848326504230499
13,119,,,0.90625,0.2027045041322708,,
13,123,,,0.84375,0.24363800883293152,,
13,125,,,,,0.90625,0.3661133646965027
14,127,,,0.96875,0.2359970360994339,,
14,131,,,0.96875,0.11213479191064835,,
14,134,,,,,0.9289772510528564,0.38368111848831177
15,135,0.8125,0.3812674582004547,,,,
