epoch,step,test_step_acc,test_step_loss,train_step_acc,train_step_loss,val_step_acc,val_step_loss
0,3,,,0.53125,5.461822986602783,,
0,7,,,0.4375,3.2762434482574463,,
0,8,,,,,0.5284090638160706,0.7034834623336792
1,11,,,0.5,0.9036843776702881,,
1,15,,,0.75,0.49853578209877014,,
1,17,,,,,0.5767045617103577,1.057748794555664
2,19,,,0.78125,0.7924842238426208,,
2,23,,,0.71875,0.5895729660987854,,
2,26,,,,,0.7386363744735718,0.575426459312439
3,27,,,0.78125,0.4123367369174957,,
3,31,,,0.90625,0.2975956201553345,,
3,35,,,1.0,0.2235073298215866,,
3,35,,,,,0.8068181872367859,0.5372528433799744
4,39,,,0.875,0.28575408458709717,,
4,43,,,0.9375,0.30858734250068665,,
4,44,,,,,0.8352272510528564,0.5112615823745728
5,47,,,0.875,0.2686568796634674,,
5,51,,,0.84375,0.35432446002960205,,
5,53,,,,,0.8380681872367859,0.4088166356086731
6,55,,,0.96875,0.20170673727989197,,
6,59,,,0.96875,0.16582997143268585,,
6,62,,,,,0.9176136255264282,0.34848660230636597
7,63,,,0.90625,0.22168731689453125,,
7,67,,,0.875,0.21798419952392578,,
7,71,,,0.9375,0.31991419196128845,,
7,71,,,,,0.9232954382896423,0.295396625995636
8,75,,,0.9375,0.15056456625461578,,
8,79,,,0.9375,0.23067526519298553,,
8,80,,,,,0.9375,0.3049634099006653
9,83,,,0.96875,0.12355607748031616,,
9,87,,,0.9375,0.1926691234111786,,
9,89,,,,,0.9602272510528564,0.2854834496974945
10,91,,,0.90625,0.21185700595378876,,
10,95,,,1.0,0.11723107844591141,,
10,98,,,,,0.9573863744735718,0.2648049294948578
11,99,,,1.0,0.08131572604179382,,
11,103,,,1.0,0.06633888930082321,,
11,107,,,1.0,0.05851631611585617,,
11,107,,,,,0.9829545617103577,0.23617395758628845
12,111,,,1.0,0.05378719046711922,,
12,115,,,1.0,0.0722208321094513,,
12,116,,,,,0.9857954382896423,0.2296714037656784
13,119,,,1.0,0.03150574490427971,,
13,123,,,1.0,0.09254737198352814,,
13,125,,,,,0.9857954382896423,0.22013640403747559
14,127,,,1.0,0.028377626091241837,,
14,131,,,1.0,0.055238690227270126,,
14,134,,,,,0.9857954382896423,0.22467534244060516
15,135,0.8541666865348816,0.29613712430000305,,,,
