epoch,step,test_step_acc,test_step_loss,train_step_acc,train_step_loss,val_step_acc,val_step_loss
0,3,,,0.59375,11.502888679504395,,
0,7,,,0.4375,4.046171188354492,,
0,8,,,,,0.5426136255264282,3.825439929962158
1,11,,,0.59375,2.1469924449920654,,
1,15,,,0.65625,1.9563196897506714,,
1,17,,,,,0.5965909361839294,1.9582372903823853
2,19,,,0.65625,2.3966116905212402,,
2,23,,,0.59375,1.4235812425613403,,
2,26,,,,,0.6875,0.7442026734352112
3,27,,,0.75,0.7767691612243652,,
3,31,,,0.65625,1.0179774761199951,,
3,35,,,0.8125,0.3676048815250397,,
3,35,,,,,0.7244318127632141,0.4810250401496887
4,39,,,0.78125,0.7399371862411499,,
4,43,,,0.6875,0.6112646460533142,,
4,44,,,,,0.7102272510528564,0.6182547807693481
5,47,,,0.75,0.43474218249320984,,
5,51,,,0.78125,0.4083653390407562,,
5,53,,,,,0.7613636255264282,0.5317366719245911
6,55,,,0.875,0.3682098090648651,,
6,59,,,0.875,0.2403164952993393,,
6,62,,,,,0.8210227489471436,0.404634952545166
7,63,,,0.875,0.3283129930496216,,
7,67,,,0.90625,0.36189398169517517,,
7,71,,,0.875,0.49590757489204407,,
7,71,,,,,0.8494318127632141,0.4013252258300781
8,75,,,0.8125,0.30021145939826965,,
8,79,,,0.84375,0.31661808490753174,,
8,80,,,,,0.8607954382896423,0.3649709224700928
9,83,,,1.0,0.13990472257137299,,
9,87,,,0.875,0.25557342171669006,,
9,89,,,,,0.8835227489471436,0.4140163064002991
10,91,,,0.78125,0.3238591253757477,,
10,95,,,0.9375,0.22863523662090302,,
10,98,,,,,0.8721590638160706,0.36778178811073303
11,99,,,0.9375,0.19259554147720337,,
11,103,,,0.9375,0.25088265538215637,,
11,107,,,0.875,0.21882599592208862,,
11,107,,,,,0.8977272510528564,0.32309970259666443
12,111,,,0.9375,0.20132070779800415,,
12,115,,,0.90625,0.15348994731903076,,
12,116,,,,,0.9232954382896423,0.28279271721839905
13,119,,,0.96875,0.2109520584344864,,
13,123,,,0.96875,0.13791415095329285,,
13,125,,,,,0.9346590638160706,0.3489941954612732
14,127,,,0.875,0.3009198009967804,,
14,131,,,0.84375,0.2978471517562866,,
14,134,,,,,0.9375,0.3559900224208832
15,135,0.8333333134651184,0.30013594031333923,,,,
