epoch,step,test_step_acc,test_step_loss,train_step_acc,train_step_loss,val_step_acc,val_step_loss
0,3,,,0.59375,1.606848955154419,,
0,7,,,0.65625,0.7992668747901917,,
0,8,,,,,0.5994318127632141,0.6622409820556641
1,11,,,0.8125,0.34531599283218384,,
1,15,,,0.65625,0.706890881061554,,
1,17,,,,,0.6988636255264282,0.7379732728004456
2,19,,,0.8125,0.34269100427627563,,
2,23,,,0.90625,0.2695947587490082,,
2,26,,,,,0.78125,0.8050836324691772
3,27,,,0.84375,0.3195592164993286,,
3,31,,,0.84375,0.31597742438316345,,
3,35,,,0.875,0.21241579949855804,,
3,35,,,,,0.8295454382896423,0.6622969508171082
4,39,,,0.875,0.24821853637695312,,
4,43,,,1.0,0.09273496270179749,,
4,44,,,,,0.9403409361839294,0.34758153557777405
5,47,,,1.0,0.05015498772263527,,
5,51,,,0.96875,0.06694885343313217,,
5,53,,,,,0.9573863744735718,0.3605380654335022
6,55,,,0.96875,0.07673976570367813,,
6,59,,,1.0,0.04148072004318237,,
6,62,,,,,0.9744318127632141,0.2524644136428833
7,63,,,1.0,0.033817414194345474,,
7,67,,,1.0,0.0526672787964344,,
7,71,,,1.0,0.01029905304312706,,
7,71,,,,,0.9545454382896423,0.37339338660240173
8,75,,,1.0,0.029223812744021416,,
8,79,,,1.0,0.016299180686473846,,
8,80,,,,,0.96875,0.2766844630241394
9,83,,,0.96875,0.09447089582681656,,
9,87,,,0.96875,0.057314276695251465,,
9,89,,,,,0.9715909361839294,0.22910209000110626
10,91,,,1.0,0.010866781696677208,,
10,95,,,1.0,0.007411045487970114,,
10,98,,,,,0.9829545617103577,0.24142377078533173
11,99,,,1.0,0.009978309273719788,,
11,103,,,1.0,0.005755913443863392,,
11,107,,,1.0,0.004735659342259169,,
11,107,,,,,0.9801136255264282,0.23518753051757812
12,111,,,1.0,0.0058900429867208,,
12,115,,,1.0,0.004086589906364679,,
12,116,,,,,0.9801136255264282,0.23694589734077454
13,119,,,1.0,0.004638935439288616,,
13,123,,,1.0,0.009192333556711674,,
13,125,,,,,0.9801136255264282,0.23911717534065247
14,127,,,1.0,0.004980715923011303,,
14,131,,,1.0,0.00268545956350863,,
14,134,,,,,0.9801136255264282,0.24212852120399475
15,135,0.9166666865348816,0.20524458587169647,,,,
