epoch,step,test_step_acc,test_step_loss,train_step_acc,train_step_loss,val_step_acc,val_step_loss
0,3,,,0.53125,8.740527153015137,,
0,7,,,0.625,3.310486316680908,,
0,8,,,,,0.5085227489471436,3.0076351165771484
1,11,,,0.5625,2.859241485595703,,
1,15,,,0.6875,2.257205009460449,,
1,17,,,,,0.5340909361839294,1.374868631362915
2,19,,,0.59375,2.261286735534668,,
2,23,,,0.71875,1.0144633054733276,,
2,26,,,,,0.625,0.714479923248291
3,27,,,0.65625,0.7868068218231201,,
3,31,,,0.5625,0.853795051574707,,
3,35,,,0.6875,0.5912179946899414,,
3,35,,,,,0.6306818127632141,0.532203197479248
4,39,,,0.78125,0.5329986214637756,,
4,43,,,0.6875,0.7234150171279907,,
4,44,,,,,0.7585227489471436,0.47698649764060974
5,47,,,0.59375,0.6977404356002808,,
5,51,,,0.84375,0.38279902935028076,,
5,53,,,,,0.8039772510528564,0.45507580041885376
6,55,,,0.8125,0.5178518295288086,,
6,59,,,0.84375,0.32708069682121277,,
6,62,,,,,0.8295454382896423,0.4024718701839447
7,63,,,0.875,0.2995625138282776,,
7,67,,,0.78125,0.6404129862785339,,
7,71,,,0.8125,0.32685554027557373,,
7,71,,,,,0.8210227489471436,0.4320004880428314
8,75,,,0.625,0.6527007818222046,,
8,79,,,0.75,0.39728304743766785,,
8,80,,,,,0.8153409361839294,0.4071721136569977
9,83,,,0.875,0.31577780842781067,,
9,87,,,0.84375,0.3008735775947571,,
9,89,,,,,0.8892045617103577,0.3642842471599579
10,91,,,0.90625,0.227573961019516,,
10,95,,,0.9375,0.21752700209617615,,
10,98,,,,,0.8579545617103577,0.3605599105358124
11,99,,,0.90625,0.24455280601978302,,
11,103,,,0.875,0.36717304587364197,,
11,107,,,0.9375,0.2754378020763397,,
11,107,,,,,0.8636363744735718,0.35453560948371887
12,111,,,0.8125,0.3788858950138092,,
12,115,,,0.90625,0.3615894317626953,,
12,116,,,,,0.8465909361839294,0.4657883644104004
13,119,,,0.75,0.3773144483566284,,
13,123,,,0.90625,0.24300388991832733,,
13,125,,,,,0.8693181872367859,0.3516635298728943
14,127,,,0.96875,0.16593360900878906,,
14,131,,,0.90625,0.21454353630542755,,
14,134,,,,,0.8863636255264282,0.31021741032600403
15,135,0.8125,0.5394007563591003,,,,
