epoch,step,test_step_acc,test_step_loss,train_step_acc,train_step_loss,val_step_acc,val_step_loss
0,3,,,0.46875,7.358046531677246,,
0,7,,,0.25,2.6830008029937744,,
0,8,,,,,0.4630681872367859,0.718265175819397
1,11,,,0.5,1.0712271928787231,,
1,15,,,0.75,0.5670197010040283,,
1,17,,,,,0.6107954382896423,0.7180577516555786
2,19,,,0.6875,0.5966357588768005,,
2,23,,,0.78125,0.5381128787994385,,
2,26,,,,,0.7272727489471436,0.634638249874115
3,27,,,0.75,0.4433830678462982,,
3,31,,,0.84375,0.40124034881591797,,
3,35,,,0.9375,0.37470266222953796,,
3,35,,,,,0.8096590638160706,0.6005816459655762
4,39,,,0.65625,0.5530198216438293,,
4,43,,,0.90625,0.3288209140300751,,
4,44,,,,,0.8380681872367859,0.5560967326164246
5,47,,,0.90625,0.3077552020549774,,
5,51,,,1.0,0.23332735896110535,,
5,53,,,,,0.8977272510528564,0.4616236686706543
6,55,,,0.875,0.28427252173423767,,
6,59,,,0.96875,0.28580671548843384,,
6,62,,,,,0.9204545617103577,0.3472396433353424
7,63,,,0.875,0.3049953877925873,,
7,67,,,0.9375,0.20471611618995667,,
7,71,,,0.875,0.22980430722236633,,
7,71,,,,,0.9346590638160706,0.3231026530265808
8,75,,,0.96875,0.11086715757846832,,
8,79,,,0.9375,0.2072576880455017,,
8,80,,,,,0.9517045617103577,0.30299702286720276
9,83,,,0.90625,0.23018035292625427,,
9,87,,,1.0,0.09617941081523895,,
9,89,,,,,0.96875,0.22243881225585938
10,91,,,1.0,0.10928177833557129,,
10,95,,,0.9375,0.14560316503047943,,
10,98,,,,,0.96875,0.2591421604156494
11,99,,,1.0,0.0748416855931282,,
11,103,,,1.0,0.08460769802331924,,
11,107,,,1.0,0.07301168143749237,,
11,107,,,,,0.9772727489471436,0.21998751163482666
12,111,,,1.0,0.04430942237377167,,
12,115,,,1.0,0.04568885639309883,,
12,116,,,,,0.9829545617103577,0.21485400199890137
13,119,,,1.0,0.035317178815603256,,
13,123,,,1.0,0.04652605205774307,,
13,125,,,,,0.9801136255264282,0.21100470423698425
14,127,,,1.0,0.02399965561926365,,
14,131,,,1.0,0.028770511969923973,,
14,134,,,,,0.9801136255264282,0.21133539080619812
15,135,0.8541666865348816,0.3456902503967285,,,,
