epoch,step,test_step_acc,test_step_loss,train_step_acc,train_step_loss,val_step_acc,val_step_loss
0,3,,,0.40625,4.664917469024658,,
0,7,,,0.65625,0.5641016960144043,,
0,8,,,,,0.5198863744735718,0.725771963596344
1,11,,,0.78125,0.4350513219833374,,
1,15,,,0.90625,0.3152044713497162,,
1,17,,,,,0.7670454382896423,0.7923925518989563
2,19,,,0.75,0.36575886607170105,,
2,23,,,0.84375,0.3756730556488037,,
2,26,,,,,0.8267045617103577,0.5187631845474243
3,27,,,0.96875,0.19859664142131805,,
3,31,,,0.96875,0.1798052340745926,,
3,35,,,0.8125,0.3026553690433502,,
3,35,,,,,0.9119318127632141,0.4530864655971527
4,39,,,1.0,0.0792350172996521,,
4,43,,,0.96875,0.13830220699310303,,
4,44,,,,,0.9375,0.4285079836845398
5,47,,,0.96875,0.13205969333648682,,
5,51,,,1.0,0.0809001550078392,,
5,53,,,,,0.9289772510528564,0.4695137143135071
6,55,,,0.96875,0.09168210625648499,,
6,59,,,1.0,0.06154120713472366,,
6,62,,,,,0.9630681872367859,0.3143441081047058
7,63,,,0.96875,0.056910689920186996,,
7,67,,,1.0,0.04979892447590828,,
7,71,,,1.0,0.07156716287136078,,
7,71,,,,,0.9715909361839294,0.27590084075927734
8,75,,,1.0,0.0313769169151783,,
8,79,,,1.0,0.031119178980588913,,
8,80,,,,,0.9744318127632141,0.29413455724716187
9,83,,,0.96875,0.07835336774587631,,
9,87,,,1.0,0.026722174137830734,,
9,89,,,,,0.9488636255264282,0.3842262625694275
10,91,,,1.0,0.034880831837654114,,
10,95,,,1.0,0.04474909231066704,,
10,98,,,,,0.9801136255264282,0.2775241434574127
11,99,,,1.0,0.024208372458815575,,
11,103,,,1.0,0.013773593120276928,,
11,107,,,1.0,0.024591859430074692,,
11,107,,,,,0.9772727489471436,0.23264746367931366
12,111,,,1.0,0.022603623569011688,,
12,115,,,1.0,0.010174578055739403,,
12,116,,,,,0.9772727489471436,0.2179732769727707
13,119,,,1.0,0.0034963302314281464,,
13,123,,,1.0,0.00834492314606905,,
13,125,,,,,0.9772727489471436,0.21752162277698517
14,127,,,1.0,0.009493188001215458,,
14,131,,,1.0,0.004856010898947716,,
14,134,,,,,0.9801136255264282,0.22566023468971252
15,135,0.9166666865348816,0.14928042888641357,,,,
